DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-19 01,0.20,NaN,0.29,1.21,-0.13,NaN,-0.58 
2024-10-19 02,0.25,NaN,0.29,1.21,-0.38,NaN,-0.61 
2024-10-19 03,0.27,NaN,0.29,1.21,-0.63,NaN,-0.64 
2024-10-19 04,0.28,NaN,0.29,1.21,-0.52,NaN,-0.65 
2024-10-19 05,0.28,NaN,0.29,1.20,0.26,NaN,-0.67 
2024-10-19 06,0.29,NaN,0.29,1.20,0.72,NaN,-0.67 
2024-10-19 07,0.31,NaN,0.28,1.20,0.95,NaN,-0.68 
2024-10-19 08,0.31,NaN,0.28,1.19,1.03,NaN,-0.68 
2024-10-19 09,0.38,NaN,0.28,1.19,1.01,NaN,-0.66 
2024-10-19 10,0.70,NaN,0.28,1.19,0.75,NaN,-0.51 
2024-10-19 11,0.59,NaN,0.28,1.19,0.45,NaN,-0.51 
2024-10-19 12,0.49,NaN,0.28,1.18,0.14,NaN,-0.57 
2024-10-19 13,0.44,NaN,0.28,1.18,-0.16,NaN,-0.61 
2024-10-19 14,0.41,NaN,0.28,1.18,-0.40,NaN,-0.63 
2024-10-19 15,0.41,NaN,0.28,1.18,-0.50,NaN,-0.64 
2024-10-19 16,0.41,NaN,0.27,1.17,0.04,NaN,-0.65 
2024-10-19 17,0.41,NaN,0.27,1.17,0.59,NaN,-0.65 
2024-10-19 18,0.41,NaN,0.27,1.17,0.90,NaN,-0.65 
2024-10-19 19,0.42,NaN,0.27,1.16,1.04,NaN,-0.65 
2024-10-19 20,0.41,NaN,0.26,1.16,1.11,NaN,-0.64 
2024-10-19 21,0.41,NaN,0.26,1.16,1.12,NaN,-0.47 
2024-10-19 22,0.45,NaN,0.26,1.15,0.62,NaN,-0.35 
2024-10-19 23,0.59,NaN,0.26,1.15,0.63,NaN,-0.40 
2024-10-20 00,0.70,NaN,0.26,1.15,0.31,NaN,-0.48 
2024-10-20 01,0.72,NaN,0.26,1.15,0.00,NaN,-0.54 
2024-10-20 02,0.69,NaN,0.26,1.15,-0.28,NaN,-0.59 
2024-10-20 03,0.64,NaN,0.25,1.15,-0.53,NaN,-0.61 
2024-10-20 04,0.61,NaN,0.25,1.15,-0.70,NaN,-0.63 
2024-10-20 05,0.58,NaN,0.25,1.14,-0.19,NaN,-0.64 
2024-10-20 06,0.56,NaN,0.25,1.14,0.36,NaN,-0.64 
2024-10-20 07,0.54,NaN,0.25,1.14,0.79,NaN,-0.64 
2024-10-20 08,0.53,NaN,0.25,1.13,0.98,NaN,-0.63 
2024-10-20 09,0.52,NaN,0.25,1.13,1.04,NaN,-0.63 
2024-10-20 10,0.52,NaN,0.24,1.13,0.97,NaN,-0.56 
2024-10-20 11,0.53,NaN,0.24,1.13,0.72,NaN,-0.44 
2024-10-20 12,0.52,NaN,0.24,1.13,0.45,NaN,-0.46 
2024-10-20 13,0.50,NaN,0.24,1.13,0.16,NaN,-0.50 
2024-10-20 14,0.50,NaN,0.24,1.12,-0.11,NaN,-0.54 
2024-10-20 15,0.48,NaN,0.24,1.12,-0.32,NaN,-0.56 
2024-10-20 16,0.47,NaN,0.23,1.12,-0.26,NaN,-0.57 
2024-10-20 17,0.46,NaN,0.23,1.12,0.35,NaN,-0.59 
2024-10-20 18,0.47,NaN,0.23,1.11,0.78,NaN,-0.57 
2024-10-20 19,0.49,NaN,0.23,1.11,0.97,NaN,-0.59 
2024-10-20 20,0.54,NaN,0.23,1.11,1.06,NaN,-0.59 
2024-10-20 21,0.57,NaN,0.23,1.11,1.10,NaN,-0.51 
2024-10-20 22,0.58,NaN,0.23,1.10,1.03,NaN,-0.37 
2024-10-20 23,0.58,NaN,0.23,1.10,0.77,NaN,-0.35 
2024-10-21 00,0.57,NaN,0.23,1.10,0.48,NaN,-0.40 
