StationID,Longitude,Latitude,Type
Malabog,123.6653,13.16487,Rainfall
Calsada,123.5105,13.25111,Rainfall
Caguscos,123.3312,13.34848,Rainfall
Bato,123.3645,13.35348,Rainfall
Buhi,123.509,13.4337,Rainfall
Ombao,123.2413,13.47482,Rainfall
Ocampo,123.3819,13.55661,Rainfall
Camaligan,123.1633,13.61951,Rainfall
Bagamelon,123.0242,13.60066,Rainfall
Balongay,123.1287,13.71349,Rainfall
Alanao,122.9262,13.91536,Rainfall
Sipocot,122.975,13.77142,Rainfall
Calsada,123.5105,13.25111,RiverLevel
Bato,123.3645,13.35348,RiverLevel
Buhi,123.509,13.4337,RiverLevel
Ombao,123.2413,13.47482,RiverLevel
Camaligan,123.1633,13.61951,RiverLevel
Balongay,123.1287,13.71349,RiverLevel
Sipocot,122.975,13.77142,RiverLevel
